client id,client type,first name,last name,date of birth,gender,country,region,acquisition purpose,satisfaction score,loan applied,referral channel,age,Cluster
C0072,1,Augustus,Hinton,2053-02-03,M,USA,Nevada,1,2,0,Website,-27,1
C0073,1,Alejandra,Greer,2065-01-11,F,Denmark,Capital Region,1,1,0,Agency,-39,3
C0074,1,Violet,Nixon,2059-01-01,F,USA,Oregon,1,5,0,Client,-33,3
C0075,1,Jaelyn,Berger,2070-05-05,F,USA,California,0,3,0,Website,-44,3
C0076,1,Tristian,Fuller,1956-03-13,M,USA,California,0,5,0,Agency,70,2
C0077,1,Christian,Costa,1980-09-14,M,USA,California,0,5,0,Website,46,0
C0078,1,Nora,Lynch,1948-04-23,F,USA,California,0,5,0,Website,78,2
C0079,1,Dangelo,Shea,1954-02-27,M,Belgium,Brussels,1,4,0,Website,72,2
C0080,1,Aiyana,Christensen,1949-01-16,F,USA,California,1,3,0,Website,77,2
C0081,1,Sidney,Cline,1943-07-24,F,USA,California,0,4,1,Website,83,2
C0082,1,Kaitlin,Owen,1981-12-26,F,USA,Virginia,1,5,0,Client,45,0
C0083,1,Issac,Edwards,1938-10-29,M,USA,California,0,5,0,Website,88,2
C0084,1,Zaiden,Merritt,1948-02-23,M,USA,Wyoming,0,3,0,Agency,78,2
C0085,1,Iris,Larsen,1966-09-14,M,USA,California,0,4,1,Agency,60,2
C0086,1,Grace,Stein,1968-12-20,F,USA,California,0,3,1,Website,58,2
C0087,1,Alessandra,Perry,1979-05-15,F,USA,California,0,4,0,Agency,47,0
C0088,1,Jamal,Mueller,1936-08-13,M,USA,Oregon,1,2,0,Website,90,2
C0089,1,Irvin,Ellis,1949-11-14,M,USA,California,0,3,0,Agency,77,2
C0090,1,Terry,Forbes,1982-05-27,M,USA,California,0,5,0,Client,44,0
C0091,1,Jacqueline,Grant,1959-11-13,F,USA,California,0,4,0,Website,67,2
C0092,1,Brock,Fischer,1971-05-29,M,USA,Kansas,0,3,0,Website,55,0
C0093,1,Curtis,Howard,2062-09-11,M,USA,California,0,2,0,Agency,-36,3
C0094,1,Avah,Huang,1948-04-23,F,USA,California,0,5,0,Website,78,2
C0095,1,Frank,Meyer,1964-03-16,M,USA,California,0,3,1,Agency,62,2
C0096,1,Darien,Dorsey,1985-12-27,M,USA,California,1,3,1,Website,41,0
C0097,1,Franklin,Mack,1943-06-18,M,USA,Virginia,0,5,1,Website,83,2
C0098,1,Elena,Petrova,1949-06-22,F,Russia,Saint Petersburg,0,3,1,Agency,77,2
C0099,1,Jack,Hanson,2041-12-01,M,USA,California,1,4,0,Website,-15,1
C0100,1,Emmett,Estes,2069-06-05,M,USA,California,0,3,0,Website,-43,3
C0101,1,Aniya,Miller,2051-03-02,F,USA,Nevada,0,3,0,Website,-25,1
C0102,1,Jack,Anderson,1947-02-13,M,USA,California,1,5,1,Website,79,2
C0103,1,Kael,Hurley,1973-12-15,M,USA,Colorado,0,3,0,Website,53,0
C0104,1,Kamden,Stewart,1978-09-14,M,USA,California,0,5,0,Website,48,0
C0105,1,Aniyah,Ali,2059-11-03,F,USA,California,1,2,1,Website,-33,3
C0106,1,Simon,Bennett,2053-06-09,M,USA,Colorado,0,4,0,Website,-27,1
C0107,1,Laurel,Benitez,2059-08-06,M,USA,California,0,4,1,Agency,-33,3
C0108,1,Trey,Strong,1958-12-20,M,USA,California,0,4,0,Agency,68,2
C0109,1,Myah,Roman,2033-05-05,F,USA,California,1,5,1,Agency,-7,1
C0110,1,Nyla,Blake,2059-06-05,F,USA,California,1,5,1,Agency,-33,3
C0111,1,Kole,Shannon,1979-06-27,M,USA,Arizona,0,2,1,Website,47,0
C0112,1,Melany,Glover,2060-10-01,F,USA,California,1,1,1,Agency,-34,3
C0113,1,Arthur,Bray,1949-07-14,M,USA,Utah,1,4,0,Agency,77,2
C0114,1,Kamila,Collier,1962-01-21,F,USA,California,0,1,1,Website,64,2
C0115,1,Amanda,Simon,1978-12-03,F,USA,California,0,5,0,Agency,48,0
C0116,1,Erika,Steward,2055-08-07,F,USA,California,1,4,0,Website,-29,1
C0117,1,Jakobe,Bailey,2064-10-06,M,UK,Scotland,1,4,0,Agency,-38,3
C0118,1,Sonia,Choi,2048-11-09,F,USA,Oregon,1,5,0,Agency,-22,1
C0119,1,Erika,Gallagher,1942-07-19,F,USA,California,0,1,1,Website,84,2
C0120,1,Madeline,Michael,1953-07-30,F,USA,California,0,4,1,Website,73,2
C0121,1,Bennett,Chen,1950-07-18,M,USA,Nevada,0,2,0,Website,76,2
C0122,1,Belinda,Hogan,1973-08-18,F,USA,California,0,1,1,Agency,53,0
C0123,1,Johanna,Fisher,1962-08-25,F,USA,California,0,4,1,Website,64,2
C0124,1,Jaylen,Turner,1963-07-15,F,USA,California,0,4,0,Agency,63,2
C0125,1,Michael,Juarez,1976-12-25,M,USA,Colorado,0,4,1,Agency,50,0
C0126,1,Adriana,Shaffer,2072-07-11,F,USA,California,1,2,0,Agency,-46,3
C0127,1,Julio,Leonard,1974-07-18,M,USA,Nevada,0,2,1,Website,52,0
C0128,0,Abdiel,Co,1963-05-22,M,USA,Nevada,1,5,1,Website,63,2
C0129,1,Warren,Pugh,1973-07-17,M,USA,Arizona,1,5,0,Website,53,0
C0130,1,Luis,Crane,1959-04-20,M,USA,Nevada,0,3,1,Website,67,2
C0131,1,Mohammad,Irwin,2071-12-02,M,USA,California,0,1,0,Website,-45,3
C0132,1,Davion,Stout,1965-07-20,M,USA,Nevada,0,1,1,Agency,61,2
C0133,1,Logan,Simmons,1946-09-14,M,USA,California,1,4,0,Agency,80,2
C0134,1,Kaylin,Villarreal,1932-06-13,F,Russia,Novosibirsk,1,3,0,Website,94,2
C0135,1,Ruben,Melton,2039-03-05,M,USA,Utah,1,2,0,Agency,-13,1
C0136,1,Gianni,Fritz,1973-09-15,M,USA,California,0,3,0,Website,53,0
C0137,1,Emilie,Morrison,1957-10-29,F,USA,California,0,3,1,Website,69,2
C0138,1,Crystal,Wyatt,1939-06-30,F,USA,Oregon,1,3,1,Website,87,2
C0139,1,Annabel,Robles,1969-10-14,F,USA,California,0,5,1,Website,57,2
C0140,1,Rachel,Cross,1952-06-18,F,USA,California,0,3,0,Website,74,2
C0141,1,Madalyn,Mercer,1986-06-21,F,USA,California,0,5,0,Website,40,0
C0142,1,Michelle,Cameron,1978-06-04,F,USA,Nevada,0,3,1,Website,48,0
C0143,1,Ezra,Lozano,1958-02-24,M,USA,California,0,1,0,Website,68,2
C0144,1,Ramiro,Oneill,1954-09-29,M,USA,California,0,4,0,Agency,72,2
C0145,1,Emely,Watts,1964-11-30,F,USA,California,0,4,0,Website,62,2
C0146,1,Hazel,Ayers,2063-02-01,M,USA,Colorado,0,2,0,Website,-37,3
C0147,1,Cedric,Goodwin,1948-02-20,M,USA,Utah,0,4,0,Client,78,2
C0148,1,Dayton,Hatfield,1969-04-19,M,USA,Colorado,1,4,1,Agency,57,2
C0149,1,Piotr,Aleksandrov,2055-12-02,M,Russia,Krasnodar Krai,1,3,0,Agency,-29,1
C0150,1,Memphis,Mcconnell,1968-08-25,M,USA,California,0,2,1,Website,58,2
C0151,1,Arabella,Ferrell,1976-08-17,F,USA,Oregon,0,1,0,Agency,50,0
C0152,1,Sincere,Hansen,1967-01-19,F,USA,California,1,2,1,Agency,59,2
C0153,1,Lara,Carrillo,1983-02-24,F,USA,California,0,5,0,Website,43,0
C0154,1,Valentina,Simpson,1965-01-24,F,USA,California,0,4,1,Agency,61,2
C0155,0,Kamd,Co,1975-08-18,M,USA,California,1,5,0,Agency,51,0
C0156,1,Case,Sanchez,1966-05-26,F,USA,California,0,5,0,Website,60,2
C0157,1,Van,Charles,1952-05-15,M,USA,Colorado,0,2,1,Client,74,2
C0158,1,Emmy,Singh,1979-12-03,F,USA,Virginia,1,3,1,Agency,47,0
C0159,1,Colin,Campos,1942-04-14,M,USA,California,0,3,0,Website,84,2
C0160,1,Anya,Stephenson,2059-06-11,F,USA,California,0,4,0,Website,-33,3
C0161,1,Parker,Poole,2051-11-10,M,USA,California,0,5,0,Website,-25,1
C0162,1,Ivan,Bright,1953-09-15,M,USA,California,0,4,0,Website,73,2
C0163,1,Larry,Turner,1986-03-24,M,USA,Utah,1,5,1,Agency,40,0
C0164,1,Matthew,Nelson,1986-09-20,M,USA,Arizona,0,5,0,Website,40,0
C0165,1,Mary,Hall,2056-07-11,F,USA,California,0,3,1,Website,-30,1
C0166,1,Carolyn,Weaver,1984-01-24,F,USA,Arizona,0,4,1,Agency,42,0
C0167,1,Grace,Green,2055-02-02,F,UK,Scotland,0,3,1,Website,-29,1
C0168,1,Pamela,Sanders,2060-06-06,F,USA,Nevada,0,3,0,Agency,-34,3
C0169,1,Terry,Turner,1990-08-13,M,USA,Ohio,1,5,1,Agency,36,0
C0170,1,Jacob,Jones,1949-06-13,M,USA,California,0,5,0,Website,77,2
C0171,1,Julie,Sanders,1991-05-05,F,USA,Washington,1,5,1,Client,35,0
C0172,1,Catherine,Carter,1992-09-16,F,USA,Washington,0,1,1,Agency,34,0
C0173,1,Amber,Wilson,1976-07-20,F,USA,Arizona,0,5,1,Agency,50,0
C0174,1,Rachel,Harris,1982-07-06,F,USA,California,1,3,0,Client,44,0
C0175,1,Brandon,Alexander,2062-04-05,M,USA,Washington,0,5,0,Agency,-36,3
C0176,1,Hannah,Williams,1993-06-27,F,USA,California,0,2,0,Website,33,0
C0177,1,Sarah,Hansen,2051-03-05,F,UK,England,0,5,1,Website,-25,1
C0178,1,Laura,Chavez,1952-12-23,F,USA,Virginia,0,4,0,Agency,74,2
C0179,1,Ashley,Turner,1986-02-11,F,USA,Oregon,1,2,0,Website,40,0
C0180,1,Jacob,Wilson,1943-01-28,M,USA,California,0,2,1,Agency,83,2
C0181,1,Lawrence,Peterson,1970-04-26,M,USA,Texas,0,2,1,Website,56,2
C0182,1,Virginia,Bennett,2071-12-02,F,Germany,North Rhine-Westphalia,1,1,1,Website,-45,3
C0183,1,Nicholas,Green,1988-09-15,M,USA,Nevada,0,3,0,Website,38,0
C0184,1,Peter,Pierce,1994-01-21,M,USA,Florida,0,1,0,Website,32,0
C0185,1,Andrea,Nelson,2045-07-02,F,USA,Nevada,0,4,1,Agency,-19,1
C0186,1,Carol,Green,1982-04-02,F,USA,Virginia,0,1,0,Website,44,0
C0187,1,Cheryl,Kim,1990-01-17,F,USA,Florida,0,1,0,Website,36,0
C0188,1,Jose,Martin,2040-10-08,M,USA,Oregon,0,5,1,Website,-14,1
C0189,1,Anna,Adams,2058-12-11,F,USA,California,0,2,0,Agency,-32,3
C0190,1,Karen,Johnson,1971-10-19,F,USA,California,0,2,0,Website,55,0
C0191,1,Sarah,Turner,1977-05-06,F,USA,Florida,0,3,0,Agency,49,0
C0192,1,Margaret,Moore,1984-02-04,F,Belgium,Brussels,1,2,1,Website,42,0
C0193,1,Sharon,Campbell,2068-08-09,F,USA,California,1,4,1,Website,-42,3
C0194,1,Jonathan,Hall,1953-08-18,M,France,Ile-de-France,0,5,1,Website,73,2
C0195,1,Sean,Jones,1947-06-19,M,USA,California,0,2,1,Website,79,2
C0196,1,Alexander,Adams,1957-04-22,M,USA,Nevada,1,5,0,Agency,69,2
C0197,1,Kevin,Wright,2044-07-01,M,USA,Virginia,0,4,0,Client,-18,1
C0198,1,Michelle,White,1976-01-28,F,USA,California,0,4,0,Website,50,0
C0199,1,Ryan,Brown,1958-04-13,M,USA,California,0,3,0,Agency,68,2
C0200,1,Linda,Harris,2044-05-06,F,USA,California,0,1,0,Agency,-18,1
C0201,1,Lauren,Weaver,1968-02-13,F,USA,California,0,1,0,Agency,58,2
C0202,1,Jack,Reyes,1996-11-11,M,Canada,British Columbia,0,1,0,Website,30,0
C0203,1,Christine,Brooks,1956-05-18,F,USA,California,0,4,0,Client,70,2
C0204,1,Joyce,Pierce,2047-01-10,F,USA,California,0,5,0,Agency,-21,1
C0205,1,Kelly,Nelson,1968-08-26,F,Mexico,Puebla,0,1,1,Agency,58,2
C0206,1,Nancy,Roberts,2057-05-08,F,USA,California,0,1,1,Agency,-31,1
C0207,1,Kyle,Gray,1944-11-19,M,USA,Virginia,1,4,0,Website,82,2
C0208,1,Mark,James,1986-03-26,M,France,Provence,0,4,1,Agency,40,0
C0209,1,Kyle,Moore,1949-08-22,M,USA,Arizona,1,3,0,Agency,77,2
C0210,1,Janice,Price,1943-03-24,F,USA,Colorado,0,2,0,Website,83,2
C0211,1,Amy,Evans,1972-02-23,F,USA,California,0,3,0,Agency,54,0
C0212,1,Jacob,Wood,1956-03-23,M,USA,California,0,4,0,Agency,70,2
C0213,1,Jason,Gray,1976-10-23,M,USA,Florida,1,5,0,Agency,50,0
C0214,1,Helen,Wood,1946-07-18,F,Belgium,Brussels,1,5,0,Website,80,2
C0215,1,Lauren,Foster,1999-07-11,F,Germany,Hamburg,1,4,0,Website,27,0
C0216,1,Albert,Hansen,1999-07-19,M,USA,Utah,0,1,0,Website,27,0
C0217,1,Deborah,Miller,1984-07-11,F,USA,Colorado,0,3,0,Website,42,0
C0218,1,Shirley,Anderson,1970-01-24,F,USA,California,0,2,0,Website,56,2
C0219,1,William,Turner,1988-01-20,M,USA,California,0,4,0,Website,38,0
C0220,1,Walter,Phillips,2051-06-06,M,Canada,Ontario,1,1,0,Website,-25,1
C0221,0,Atlas,Co,1987-05-14,F,USA,California,0,5,0,Website,39,0
C0222,1,Christopher,Stone,2056-11-08,M,USA,Utah,1,3,0,Agency,-30,1
C0223,1,Patrick,Hansen,2073-11-12,M,USA,Colorado,1,3,1,Website,-47,3
C0224,1,Nathan,Richardson,1960-08-23,M,USA,Colorado,0,5,0,Website,66,2
C0225,1,Evelyn,Reyes,1948-12-19,F,USA,California,0,1,1,Agency,78,2
C0226,1,Julia,Jordan,2058-07-11,F,USA,Colorado,0,2,0,Website,-32,3
C0227,1,Rachel,Evans,1944-10-23,F,USA,Arizona,0,5,1,Website,82,2
C0228,1,Hannah,Owens,1952-04-23,F,USA,Oregon,1,4,0,Website,74,2
C0229,1,Jose,Turner,1981-11-19,M,USA,Colorado,1,5,0,Website,45,0
C0230,0,Forsyte,Co,1977-07-22,M,USA,Nevada,1,4,1,Website,49,0
C0231,1,Ronald,Rogers,1993-12-18,M,Denmark,Central Denmark,1,2,1,Website,33,0
C0232,1,Megan,Kim,2062-05-04,F,USA,California,0,3,1,Website,-36,3
C0233,1,Larry,Garcia,1997-09-10,M,France,Provence,0,4,1,Website,29,0
C0234,1,Andrea,Hughes,1979-03-02,F,USA,New York,0,1,1,Website,47,0
C0235,1,Kenneth,Allen,2049-10-10,M,USA,California,0,5,0,Website,-23,1
C0236,1,Gerald,Howard,2072-08-10,M,Canada,Manitoba,0,3,0,Agency,-46,3
C0237,1,Jason,Nelson,1984-11-03,M,USA,California,0,5,1,Website,42,0
C0238,1,Amber,Patterson,1982-01-08,F,USA,Virginia,0,4,1,Agency,44,0
C0239,1,Megan,Baker,1973-02-18,F,USA,Oregon,0,3,1,Website,53,0
C0240,1,Amber,Morales,1942-05-15,F,USA,Colorado,1,3,0,Website,84,2
C0241,1,Kelly,Anderson,1962-01-14,F,Mexico,Nuevo Leon,0,5,1,Website,64,2
C0242,1,Stephen,Peterson,1998-03-16,M,USA,Utah,0,3,1,Agency,28,0
C0243,1,Nancy,Patterson,1978-07-11,F,USA,Utah,0,2,0,Website,48,0
C0244,1,Joyce,Pierce,1998-08-03,F,USA,California,0,1,0,Website,28,0
C0245,1,Sean,Long,2074-01-07,M,USA,Nevada,1,4,0,Agency,-48,3
C0246,1,Stephen,Pierce,1992-05-15,M,France,Normandy,0,1,1,Agency,34,0
C0247,1,Kevin,Morris,1965-01-18,M,USA,California,0,1,0,Website,61,2
C0248,1,Carl,Collins,2068-12-09,M,USA,Florida,0,4,1,Agency,-42,3
C0249,1,Stephanie,Montgomery,2068-12-05,F,USA,California,1,4,0,Agency,-42,3
C0250,1,Justin,Stewart,1947-10-19,M,UK,England,0,2,0,Agency,79,2
C0251,1,Janice,Chavez,1976-08-11,F,USA,Utah,0,5,0,Website,50,0
C0252,1,Elizabeth,Rogers,1953-08-23,F,USA,Nevada,1,2,0,Website,73,2
C0253,1,Betty,Hughes,1994-09-15,F,USA,Virginia,0,4,0,Website,32,0
C0254,1,Rachel,Freeman,1956-07-21,F,USA,Florida,0,5,0,Website,70,2
C0255,1,Sara,Jones,2061-02-08,F,UK,England,1,3,1,Client,-35,3
C0256,1,Anthony,Hughes,1990-12-10,M,USA,California,0,1,1,Website,36,0
C0257,1,Nicholas,Kim,1974-10-22,M,USA,California,0,1,0,Website,52,0
C0258,1,Carl,Murray,1991-04-15,M,UK,Northern Ireland,0,4,1,Agency,35,0
C0259,1,Emma,Chavez,1990-02-15,F,USA,Oregon,0,4,0,Website,36,0
C0260,1,Rebecca,Wood,2046-08-04,F,USA,Nevada,1,3,0,Website,-20,1
C0261,0,Celera,Co,1985-05-13,F,USA,Florida,1,4,1,Website,41,0
C0262,1,Billy,Bryant,1947-05-25,M,USA,Oregon,0,2,0,Website,79,2
C0263,1,Anthony,Garcia,1981-08-02,M,USA,Nevada,1,2,1,Website,45,0
C0264,1,Melissa,Baker,1992-09-12,F,USA,Colorado,0,2,1,Agency,34,0
C0265,0,Celera,Co,1967-04-13,M,Belgium,Flanders,0,1,0,Website,59,2
C0266,1,Aaron,Owens,1977-02-26,M,USA,California,0,5,1,Agency,49,0
C0267,1,Judy,Howard,2048-11-12,F,USA,Utah,0,4,1,Agency,-22,1
C0268,1,Danielle,Carter,1959-02-21,F,USA,Georgia,1,3,0,Website,67,2
C0269,1,David,Stewart,2069-02-04,M,USA,New York,0,2,0,Agency,-43,3
C0270,1,Megan,Allen,1944-07-21,F,USA,Florida,0,5,0,Website,82,2
C0271,1,Laura,Hughes,1972-04-28,F,USA,California,1,3,0,Agency,54,0
C0272,1,Pamela,Green,1993-08-03,F,UK,Scotland,0,5,1,Website,33,0
C0273,1,Paul,Morales,1987-02-27,M,Denmark,Zealand,1,2,0,Website,39,0
C0274,1,Raymond,Young,2050-10-01,M,USA,Florida,0,2,0,Website,-24,1
C0275,1,William,Thompson,2000-06-26,M,USA,Oregon,0,1,1,Website,26,0
C0276,1,Gloria,Harris,1953-02-16,F,USA,Washington,0,5,0,Website,73,2
C0277,1,Jordan,Garcia,1954-11-17,M,USA,Colorado,1,1,1,Agency,72,2
C0278,1,Margaret,Foster,2055-08-03,F,USA,California,1,2,1,Website,-29,1
C0279,1,Heather,Montgomery,1967-05-15,F,USA,Oregon,0,1,0,Website,59,2
C0280,1,Nathan,Price,1944-04-14,M,USA,Florida,0,4,0,Client,82,2
C0281,1,Katherine,Phillips,1977-03-22,F,USA,California,0,1,1,Agency,49,0
C0282,1,Emily,Owens,1997-10-18,F,USA,California,1,1,0,Website,29,0
C0283,1,Susan,Edwards,2062-05-12,F,USA,Arizona,0,2,1,Agency,-36,3
C0284,1,Patrick,Owens,1977-02-25,M,USA,Arizona,0,4,0,Client,49,0
C0285,1,Billy,Parker,1999-03-09,M,France,Ile-de-France,1,3,0,Website,27,0
C0286,1,Noah,Brooks,1996-03-24,M,UK,Scotland,0,1,0,Agency,30,0
C0287,1,Joan,Bell,1990-06-10,F,Australia,New South Wales,0,5,0,Website,36,0
C0288,1,Kevin,Freeman,1997-11-03,M,USA,Colorado,1,4,0,Agency,29,0
C0289,1,Laura,Hayes,1993-06-14,F,USA,California,1,5,0,Agency,33,0
C0290,1,Ryan,Watson,2062-01-01,M,USA,California,0,2,0,Website,-36,3
C0291,1,James,Bryant,2053-07-06,M,USA,Nevada,0,2,0,Agency,-27,1
C0292,1,Karen,Watson,2045-12-02,F,USA,California,0,1,0,Agency,-19,1
C0293,1,Ruth,Collins,1993-07-01,F,USA,California,1,4,0,Website,33,0
C0294,1,Nicholas,Reyes,1963-07-17,M,USA,Nevada,0,3,1,Website,63,2
C0295,1,Roger,Harris,2067-09-07,M,Russia,Tatarstan,0,3,0,Agency,-41,3
C0296,1,Mark,Young,1984-04-06,M,Canada,Manitoba,0,1,1,Client,42,0
C0297,1,Julia,Murray,1972-11-19,F,UK,Wales,1,5,0,Agency,54,0
C0298,1,Sarah,Patterson,2072-11-10,F,USA,Oregon,0,3,0,Website,-46,3
C0299,1,Barbara,Davis,1977-05-03,F,UK,Wales,0,5,0,Agency,49,0
C0300,1,Zachary,Peterson,2059-04-11,M,Canada,Alberta,0,5,1,Website,-33,3
C0301,1,Lisa,Alexander,2059-03-02,F,USA,Virginia,0,4,0,Agency,-33,3
C0302,1,Maria,Edwards,1976-07-25,F,USA,Utah,1,1,0,Agency,50,0
C0303,1,Betty,Owens,2057-07-10,F,USA,Virginia,1,5,1,Website,-31,1
C0304,1,Patrick,Morris,1959-12-22,M,USA,California,1,1,0,Agency,67,2
C0305,1,Emily,Kim,1995-11-22,F,USA,Arizona,0,1,0,Website,31,0
C0306,1,Samuel,Foster,1988-04-05,M,USA,California,0,1,0,Client,38,0
C0307,1,Samuel,Freeman,1992-10-13,M,USA,California,0,5,1,Client,34,0
C0308,1,Catherine,Roberts,2072-10-10,F,Belgium,Flanders,1,4,1,Agency,-46,3
C0309,1,Stephanie,Cox,1957-10-15,F,USA,Washington,0,4,0,Agency,69,2
C0310,1,Edward,Weaver,1992-05-02,M,UK,Northern Ireland,0,3,0,Website,34,0
