client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,Cluster
C0079,1,Dangelo,Shea,1954-02-27,M,1,7,1,0.6870888628228828,0,Website,1.0240947948701407,1
C0080,1,Aiyana,Christensen,1949-01-16,F,9,8,1,-0.020520676644555657,0,Website,1.147924302605158,1
C0081,1,Sidney,Cline,1943-07-24,F,9,8,0,0.6870888628228828,1,Website,1.2965197118871787,1
C0082,1,Kaitlin,Owen,1981-12-26,F,9,50,1,1.3946984022903213,0,Client,0.35541545310104683,1
C0083,1,Issac,Edwards,1938-10-29,M,9,8,0,1.3946984022903213,0,Website,1.420349219622196,1
C0084,1,Zaiden,Merritt,1948-02-23,M,9,55,0,-0.020520676644555657,0,Agency,1.1726902041521614,1
C0085,1,Iris,Larsen,1966-09-14,M,9,8,0,0.6870888628228828,1,Agency,0.7269039763060989,1
C0086,1,Grace,Stein,1968-12-20,F,9,8,0,-0.020520676644555657,1,Website,0.677372173212092,1
C0087,1,Alessandra,Perry,1979-05-15,F,9,8,0,0.6870888628228828,0,Agency,0.40494725619505373,1
C0088,1,Jamal,Mueller,1936-08-13,M,9,37,1,-0.7281302161119941,0,Website,1.4698810227162031,0
C0089,1,Irvin,Ellis,1949-11-14,M,9,8,0,-0.020520676644555657,0,Agency,1.147924302605158,1
C0090,1,Terry,Forbes,1982-05-27,M,9,8,0,1.3946984022903213,0,Client,0.33064955155404335,1
C0091,1,Jacqueline,Grant,1959-11-13,F,9,8,0,0.6870888628228828,0,Website,0.9002652871351232,1
C0092,1,Brock,Fischer,1971-05-29,M,9,20,0,-0.020520676644555657,0,Website,0.6030744685710815,1
C0093,1,Curtis,Howard,2062-09-11,M,9,8,0,-0.7281302161119941,0,Agency,-1.6506225722062344,3
C0094,1,Avah,Huang,1948-04-23,F,9,8,0,1.3946984022903213,0,Website,1.1726902041521614,1
C0095,1,Frank,Meyer,1964-03-16,M,9,8,0,-0.020520676644555657,1,Agency,0.7764357794001059,1
C0096,1,Darien,Dorsey,1985-12-27,M,9,8,1,-0.020520676644555657,1,Website,0.2563518469130329,1
C0097,1,Franklin,Mack,1943-06-18,M,9,50,0,1.3946984022903213,1,Website,1.2965197118871787,1
C0098,1,Elena,Petrova,1949-06-22,F,7,42,0,-0.020520676644555657,1,Agency,1.147924302605158,1
C0099,1,Jack,Hanson,2041-12-01,M,9,8,1,0.6870888628228828,0,Website,-1.1305386397191615,2
C0100,1,Emmett,Estes,2069-06-05,M,9,8,0,-0.020520676644555657,0,Website,-1.8239838830352588,3
C0101,1,Aniya,Miller,2051-03-02,F,9,25,0,-0.020520676644555657,0,Website,-1.3781976551891963,3
C0102,1,Jack,Anderson,1947-02-13,M,9,8,1,1.3946984022903213,1,Website,1.1974561056991648,1
C0103,1,Kael,Hurley,1973-12-15,M,9,11,0,-0.020520676644555657,0,Website,0.5535426654770745,1
C0104,1,Kamden,Stewart,1978-09-14,M,9,8,0,1.3946984022903213,0,Website,0.4297131577420572,1
C0105,1,Aniyah,Ali,2059-11-03,F,9,8,1,-0.7281302161119941,1,Website,-1.576324867565224,3
C0106,1,Simon,Bennett,2053-06-09,M,9,11,0,0.6870888628228828,0,Website,-1.4277294582832032,2
C0107,1,Laurel,Benitez,2059-08-06,M,9,8,0,0.6870888628228828,1,Agency,-1.576324867565224,2
C0108,1,Trey,Strong,1958-12-20,M,9,8,0,0.6870888628228828,0,Agency,0.9250311886821266,1
C0109,1,Myah,Roman,2033-05-05,F,9,8,1,1.3946984022903213,1,Agency,-0.9324114273431338,2
C0110,1,Nyla,Blake,2059-06-05,F,9,8,1,1.3946984022903213,1,Agency,-1.576324867565224,2
C0111,1,Kole,Shannon,1979-06-27,M,9,1,0,-0.7281302161119941,1,Website,0.40494725619505373,0
C0112,1,Melany,Glover,2060-10-01,F,9,8,1,-1.4357397555794327,1,Agency,-1.6010907691122276,3
C0113,1,Arthur,Bray,1949-07-14,M,9,48,1,0.6870888628228828,0,Agency,1.147924302605158,1
C0114,1,Kamila,Collier,1962-01-21,F,9,8,0,-1.4357397555794327,1,Website,0.8259675824941127,0
C0115,1,Amanda,Simon,1978-12-03,F,9,8,0,1.3946984022903213,0,Agency,0.4297131577420572,1
C0116,1,Erika,Steward,2055-08-07,F,9,8,1,0.6870888628228828,0,Website,-1.47726126137721,2
C0117,1,Jakobe,Bailey,2064-10-06,M,8,43,1,0.6870888628228828,0,Agency,-1.7001543753002415,2
C0118,1,Sonia,Choi,2048-11-09,F,9,37,1,1.3946984022903213,0,Agency,-1.3038999505481859,2
C0119,1,Erika,Gallagher,1942-07-19,F,9,8,0,-1.4357397555794327,1,Website,1.3212856134341822,0
C0120,1,Madeline,Michael,1953-07-30,F,9,8,0,0.6870888628228828,1,Website,1.048860696417144,1
C0121,1,Bennett,Chen,1950-07-18,M,9,25,0,-0.7281302161119941,0,Website,1.1231584010581543,0
C0122,1,Belinda,Hogan,1973-08-18,F,9,8,0,-1.4357397555794327,1,Agency,0.5535426654770745,0
C0123,1,Johanna,Fisher,1962-08-25,F,9,8,0,0.6870888628228828,1,Website,0.8259675824941127,1
C0124,1,Jaylen,Turner,1963-07-15,F,9,8,0,0.6870888628228828,0,Agency,0.8012016809471093,1
C0125,1,Michael,Juarez,1976-12-25,M,9,11,0,0.6870888628228828,1,Agency,0.47924496083606416,1
C0126,1,Adriana,Shaffer,2072-07-11,F,9,8,1,-0.7281302161119941,0,Agency,-1.898281587676269,3
C0127,1,Julio,Leonard,1974-07-18,M,9,25,0,-0.7281302161119941,1,Website,0.5287767639300711,0
C0128,0,Abdiel,Co,1963-05-22,M,9,25,1,1.3946984022903213,1,Website,0.8012016809471093,1
C0129,1,Warren,Pugh,1973-07-17,M,9,1,1,1.3946984022903213,0,Website,0.5535426654770745,1
C0130,1,Luis,Crane,1959-04-20,M,9,25,0,-0.020520676644555657,1,Website,0.9002652871351232,1
C0131,1,Mohammad,Irwin,2071-12-02,M,9,8,0,-1.4357397555794327,0,Website,-1.8735156861292657,3
C0132,1,Davion,Stout,1965-07-20,M,9,25,0,-1.4357397555794327,1,Agency,0.7516698778531024,0
C0133,1,Logan,Simmons,1946-09-14,M,9,8,1,0.6870888628228828,0,Agency,1.2222220072461683,1
C0134,1,Kaylin,Villarreal,1932-06-13,F,7,32,1,-0.020520676644555657,0,Website,1.568944628904217,1
C0135,1,Ruben,Melton,2039-03-05,M,9,48,1,-0.7281302161119941,0,Agency,-1.0810068366251546,3
C0136,1,Gianni,Fritz,1973-09-15,M,9,8,0,-0.020520676644555657,0,Website,0.5535426654770745,1
C0137,1,Emilie,Morrison,1957-10-29,F,9,8,0,-0.020520676644555657,1,Website,0.9497970902291302,1
C0138,1,Crystal,Wyatt,1939-06-30,F,9,37,1,-0.020520676644555657,1,Website,1.3955833180751926,1
C0139,1,Annabel,Robles,1969-10-14,F,9,8,0,1.3946984022903213,1,Website,0.6526062716650884,1
C0140,1,Rachel,Cross,1952-06-18,F,9,8,0,-0.020520676644555657,0,Website,1.0736265979641475,1
C0141,1,Madalyn,Mercer,1986-06-21,F,9,8,0,1.3946984022903213,0,Website,0.23158594536602944,1
C0142,1,Michelle,Cameron,1978-06-04,F,9,25,0,-0.020520676644555657,1,Website,0.4297131577420572,1
C0143,1,Ezra,Lozano,1958-02-24,M,9,8,0,-1.4357397555794327,0,Website,0.9250311886821266,0
C0144,1,Ramiro,Oneill,1954-09-29,M,9,8,0,0.6870888628228828,0,Agency,1.0240947948701407,1
C0145,1,Emely,Watts,1964-11-30,F,9,8,0,0.6870888628228828,0,Website,0.7764357794001059,1
C0146,1,Hazel,Ayers,2063-02-01,M,9,11,0,-0.7281302161119941,0,Website,-1.6753884737532379,3
C0147,1,Cedric,Goodwin,1948-02-20,M,9,48,0,0.6870888628228828,0,Client,1.1726902041521614,1
C0148,1,Dayton,Hatfield,1969-04-19,M,9,11,1,0.6870888628228828,1,Agency,0.6526062716650884,1
C0149,1,Piotr,Aleksandrov,2055-12-02,M,7,21,1,-0.020520676644555657,0,Agency,-1.47726126137721,3
C0150,1,Memphis,Mcconnell,1968-08-25,M,9,8,0,-0.7281302161119941,1,Website,0.677372173212092,0
C0151,1,Arabella,Ferrell,1976-08-17,F,9,37,0,-1.4357397555794327,0,Agency,0.47924496083606416,0
C0152,1,Sincere,Hansen,1967-01-19,F,9,8,1,-0.7281302161119941,1,Agency,0.7021380747590954,0
C0153,1,Lara,Carrillo,1983-02-24,F,9,8,0,1.3946984022903213,0,Website,0.3058836500070399,1
C0154,1,Valentina,Simpson,1965-01-24,F,9,8,0,0.6870888628228828,1,Agency,0.7516698778531024,1
C0155,0,Kamd,Co,1975-08-18,M,9,8,1,1.3946984022903213,0,Agency,0.5040108623830677,1
C0156,1,Case,Sanchez,1966-05-26,F,9,8,0,1.3946984022903213,0,Website,0.7269039763060989,1
C0157,1,Van,Charles,1952-05-15,M,9,11,0,-0.7281302161119941,1,Client,1.0736265979641475,0
C0158,1,Emmy,Singh,1979-12-03,F,9,50,1,-0.020520676644555657,1,Agency,0.40494725619505373,1
C0159,1,Colin,Campos,1942-04-14,M,9,8,0,-0.020520676644555657,0,Website,1.3212856134341822,1
C0160,1,Anya,Stephenson,2059-06-11,F,9,8,0,0.6870888628228828,0,Website,-1.576324867565224,2
C0161,1,Parker,Poole,2051-11-10,M,9,8,0,1.3946984022903213,0,Website,-1.3781976551891963,2
C0162,1,Ivan,Bright,1953-09-15,M,9,8,0,0.6870888628228828,0,Website,1.048860696417144,1
C0163,1,Larry,Turner,1986-03-24,M,9,48,1,1.3946984022903213,1,Agency,0.23158594536602944,1
C0164,1,Matthew,Nelson,1986-09-20,M,9,1,0,1.3946984022903213,0,Website,0.23158594536602944,1
C0165,1,Mary,Hall,2056-07-11,F,9,8,0,-0.020520676644555657,1,Website,-1.5020271629242137,3
C0166,1,Carolyn,Weaver,1984-01-24,F,9,1,0,0.6870888628228828,1,Agency,0.2811177484600364,1
C0167,1,Grace,Green,2055-02-02,F,8,43,0,-0.020520676644555657,1,Website,-1.47726126137721,3
C0168,1,Pamela,Sanders,2060-06-06,F,9,25,0,-0.020520676644555657,0,Agency,-1.6010907691122276,3
C0169,1,Terry,Turner,1990-08-13,M,9,35,1,1.3946984022903213,1,Agency,0.13252233917801556,1
C0170,1,Jacob,Jones,1949-06-13,M,9,8,0,1.3946984022903213,0,Website,1.147924302605158,1
C0171,1,Julie,Sanders,1991-05-05,F,9,53,1,1.3946984022903213,1,Client,0.10775643763101209,1
C0172,1,Catherine,Carter,1992-09-16,F,9,53,0,-1.4357397555794327,1,Agency,0.08299053608400861,0
C0173,1,Amber,Wilson,1976-07-20,F,9,1,0,1.3946984022903213,1,Agency,0.47924496083606416,1
C0174,1,Rachel,Harris,1982-07-06,F,9,8,1,-0.020520676644555657,0,Client,0.33064955155404335,1
C0175,1,Brandon,Alexander,2062-04-05,M,9,53,0,1.3946984022903213,0,Agency,-1.6506225722062344,2
C0176,1,Hannah,Williams,1993-06-27,F,9,8,0,-0.7281302161119941,0,Website,0.05822463453700514,0
C0177,1,Sarah,Hansen,2051-03-05,F,8,12,0,1.3946984022903213,1,Website,-1.3781976551891963,2
C0178,1,Laura,Chavez,1952-12-23,F,9,50,0,0.6870888628228828,0,Agency,1.0736265979641475,1
C0179,1,Ashley,Turner,1986-02-11,F,9,37,1,-0.7281302161119941,0,Website,0.23158594536602944,0
C0180,1,Jacob,Wilson,1943-01-28,M,9,8,0,-0.7281302161119941,1,Agency,1.2965197118871787,0
C0181,1,Lawrence,Peterson,1970-04-26,M,9,47,0,-0.7281302161119941,1,Website,0.627840370118085,0
C0182,1,Virginia,Bennett,2071-12-02,F,5,30,1,-1.4357397555794327,1,Website,-1.8735156861292657,3
C0183,1,Nicholas,Green,1988-09-15,M,9,25,0,-0.020520676644555657,0,Website,0.1820541422720225,1
C0184,1,Peter,Pierce,1994-01-21,M,9,14,0,-1.4357397555794327,0,Website,0.03345873299000167,0
C0185,1,Andrea,Nelson,2045-07-02,F,9,25,0,0.6870888628228828,1,Agency,-1.2296022459071754,2
C0186,1,Carol,Green,1982-04-02,F,9,50,0,-1.4357397555794327,0,Website,0.33064955155404335,0
C0187,1,Cheryl,Kim,1990-01-17,F,9,14,0,-1.4357397555794327,0,Website,0.13252233917801556,0
C0188,1,Jose,Martin,2040-10-08,M,9,37,0,1.3946984022903213,1,Website,-1.105772738172158,2
C0189,1,Anna,Adams,2058-12-11,F,9,8,0,-0.7281302161119941,0,Agency,-1.5515589660182205,3
C0190,1,Karen,Johnson,1971-10-19,F,9,8,0,-0.7281302161119941,0,Website,0.6030744685710815,0
C0191,1,Sarah,Turner,1977-05-06,F,9,14,0,-0.020520676644555657,0,Agency,0.4544790592890607,1
C0192,1,Margaret,Moore,1984-02-04,F,1,7,1,-0.7281302161119941,1,Website,0.2811177484600364,0
C0193,1,Sharon,Campbell,2068-08-09,F,9,8,1,0.6870888628228828,1,Website,-1.7992179814882552,2
C0194,1,Jonathan,Hall,1953-08-18,M,4,18,0,1.3946984022903213,1,Website,1.048860696417144,1
C0195,1,Sean,Jones,1947-06-19,M,9,8,0,-0.7281302161119941,1,Website,1.1974561056991648,0
C0196,1,Alexander,Adams,1957-04-22,M,9,25,1,1.3946984022903213,0,Agency,0.9497970902291302,1
C0197,1,Kevin,Wright,2044-07-01,M,9,50,0,0.6870888628228828,0,Client,-1.204836344360172,2
C0198,1,Michelle,White,1976-01-28,F,9,8,0,0.6870888628228828,0,Website,0.47924496083606416,1
C0199,1,Ryan,Brown,1958-04-13,M,9,8,0,-0.020520676644555657,0,Agency,0.9250311886821266,1
C0200,1,Linda,Harris,2044-05-06,F,9,8,0,-1.4357397555794327,0,Agency,-1.204836344360172,3
C0201,1,Lauren,Weaver,1968-02-13,F,9,8,0,-1.4357397555794327,0,Agency,0.677372173212092,0
C0202,1,Jack,Reyes,1996-11-11,M,2,5,0,-1.4357397555794327,0,Website,-0.016073070104005275,0
C0203,1,Christine,Brooks,1956-05-18,F,9,8,0,0.6870888628228828,0,Client,0.9745629917761336,1
C0204,1,Joyce,Pierce,2047-01-10,F,9,8,0,1.3946984022903213,0,Agency,-1.2791340490011824,2
C0205,1,Kelly,Nelson,1968-08-26,F,6,39,0,-1.4357397555794327,1,Agency,0.677372173212092,0
C0206,1,Nancy,Roberts,2057-05-08,F,9,8,0,-1.4357397555794327,1,Agency,-1.526793064471217,3
C0207,1,Kyle,Gray,1944-11-19,M,9,50,1,0.6870888628228828,0,Website,1.2717538103401753,1
C0208,1,Mark,James,1986-03-26,M,4,38,0,0.6870888628228828,1,Agency,0.23158594536602944,1
C0209,1,Kyle,Moore,1949-08-22,M,9,1,1,-0.020520676644555657,0,Agency,1.147924302605158,1
C0210,1,Janice,Price,1943-03-24,F,9,11,0,-0.7281302161119941,0,Website,1.2965197118871787,0
C0211,1,Amy,Evans,1972-02-23,F,9,8,0,-0.020520676644555657,0,Agency,0.5783085670240781,1
C0212,1,Jacob,Wood,1956-03-23,M,9,8,0,0.6870888628228828,0,Agency,0.9745629917761336,1
C0213,1,Jason,Gray,1976-10-23,M,9,14,1,1.3946984022903213,0,Agency,0.47924496083606416,1
C0214,1,Helen,Wood,1946-07-18,F,1,7,1,1.3946984022903213,0,Website,1.2222220072461683,1
C0215,1,Lauren,Foster,1999-07-11,F,5,16,1,0.6870888628228828,0,Website,-0.09037077474501569,1
C0216,1,Albert,Hansen,1999-07-19,M,9,48,0,-1.4357397555794327,0,Website,-0.09037077474501569,0
C0217,1,Deborah,Miller,1984-07-11,F,9,11,0,-0.020520676644555657,0,Website,0.2811177484600364,1
C0218,1,Shirley,Anderson,1970-01-24,F,9,8,0,-0.7281302161119941,0,Website,0.627840370118085,0
C0219,1,William,Turner,1988-01-20,M,9,8,0,0.6870888628228828,0,Website,0.1820541422720225,1
C0220,1,Walter,Phillips,2051-06-06,M,2,36,1,-1.4357397555794327,0,Website,-1.3781976551891963,3
C0221,0,Atlas,Co,1987-05-14,F,9,8,0,1.3946984022903213,0,Website,0.20682004381902597,1
C0222,1,Christopher,Stone,2056-11-08,M,9,48,1,-0.020520676644555657,0,Agency,-1.5020271629242137,3
C0223,1,Patrick,Hansen,2073-11-12,M,9,11,1,-0.020520676644555657,1,Website,-1.9230474892232727,3
C0224,1,Nathan,Richardson,1960-08-23,M,9,11,0,1.3946984022903213,0,Website,0.8754993855881197,1
C0225,1,Evelyn,Reyes,1948-12-19,F,9,8,0,-1.4357397555794327,1,Agency,1.1726902041521614,0
C0226,1,Julia,Jordan,2058-07-11,F,9,11,0,-0.7281302161119941,0,Website,-1.5515589660182205,3
C0227,1,Rachel,Evans,1944-10-23,F,9,1,0,1.3946984022903213,1,Website,1.2717538103401753,1
C0228,1,Hannah,Owens,1952-04-23,F,9,37,1,0.6870888628228828,0,Website,1.0736265979641475,1
C0229,1,Jose,Turner,1981-11-19,M,9,11,1,1.3946984022903213,0,Website,0.35541545310104683,1
C0230,0,Forsyte,Co,1977-07-22,M,9,25,1,0.6870888628228828,1,Website,0.4544790592890607,1
C0231,1,Ronald,Rogers,1993-12-18,M,3,10,1,-0.7281302161119941,1,Website,0.05822463453700514,0
C0232,1,Megan,Kim,2062-05-04,F,9,8,0,-0.020520676644555657,1,Website,-1.6506225722062344,3
C0233,1,Larry,Garcia,1997-09-10,M,4,38,0,0.6870888628228828,1,Website,-0.04083897165100875,1
C0234,1,Andrea,Hughes,1979-03-02,F,9,27,0,-1.4357397555794327,1,Website,0.40494725619505373,0
C0235,1,Kenneth,Allen,2049-10-10,M,9,8,0,1.3946984022903213,0,Website,-1.3286658520951893,2
C0236,1,Gerald,Howard,2072-08-10,M,2,22,0,-0.020520676644555657,0,Agency,-1.898281587676269,3
C0237,1,Jason,Nelson,1984-11-03,M,9,8,0,1.3946984022903213,1,Website,0.2811177484600364,1
C0238,1,Amber,Patterson,1982-01-08,F,9,50,0,0.6870888628228828,1,Agency,0.33064955155404335,1
C0239,1,Megan,Baker,1973-02-18,F,9,37,0,-0.020520676644555657,1,Website,0.5535426654770745,1
C0240,1,Amber,Morales,1942-05-15,F,9,11,1,-0.020520676644555657,0,Website,1.3212856134341822,1
C0241,1,Kelly,Anderson,1962-01-14,F,6,33,0,1.3946984022903213,1,Website,0.8259675824941127,1
C0242,1,Stephen,Peterson,1998-03-16,M,9,48,0,-0.020520676644555657,1,Agency,-0.06560487319801223,1
C0243,1,Nancy,Patterson,1978-07-11,F,9,48,0,-0.7281302161119941,0,Website,0.4297131577420572,0
C0244,1,Joyce,Pierce,1998-08-03,F,9,8,0,-1.4357397555794327,0,Website,-0.06560487319801223,0
C0245,1,Sean,Long,2074-01-07,M,9,25,1,0.6870888628228828,0,Agency,-1.9478133907702762,2
C0246,1,Stephen,Pierce,1992-05-15,M,4,28,0,-1.4357397555794327,1,Agency,0.08299053608400861,0
